# Chrome Network - Up Admin (http://localhost:5173/pipelines)
reqid=1 GET http://localhost:5173/ [success - 200]
reqid=2 GET http://localhost:5173/@vite/client [success - 200]
reqid=3 GET http://localhost:5173/src/main.js?t=1763041482128 [success - 200]
reqid=4 GET http://localhost:5173/node_modules/.pnpm/vite@5.4.21/node_modules/vite/dist/client/env.mjs [success - 200]
reqid=5 GET http://localhost:5173/node_modules/.vite/deps/vue.js?v=69673b7a [success - 200]
reqid=6 GET http://localhost:5173/node_modules/.vite/deps/pinia.js?v=69673b7a [success - 200]
reqid=7 GET http://localhost:5173/node_modules/.vite/deps/element-plus.js?v=69673b7a [success - 200]
reqid=8 GET http://localhost:5173/node_modules/.pnpm/element-plus@2.11.7_vue@3.5.24/node_modules/element-plus/dist/index.css [success - 200]
reqid=9 GET http://localhost:5173/src/App.vue [success - 200]
reqid=10 GET http://localhost:5173/src/router/index.js?t=1763041482128 [success - 200]
reqid=11 GET http://localhost:5173/src/styles/tokens.css [success - 200]
reqid=12 GET http://localhost:5173/node_modules/.vite/deps/chunk-MA3G6GDO.js?v=69673b7a [success - 200]
reqid=13 GET http://localhost:5173/node_modules/.vite/deps/chunk-5WRI5ZAA.js?v=69673b7a [success - 200]
reqid=14 GET http://localhost:5173/node_modules/.vite/deps/chunk-ISH6AKKV.js?v=69673b7a [success - 200]
reqid=15 GET http://localhost:5173/node_modules/.vite/deps/chunk-YM7IA4PJ.js?v=69673b7a [success - 200]
reqid=16 GET http://localhost:5173/@id/__x00__plugin-vue:export-helper [success - 200]
reqid=17 GET http://localhost:5173/node_modules/.vite/deps/vue-router.js?v=69673b7a [success - 200]
reqid=18 GET http://localhost:5173/src/views/PipelineWorkspace.vue?t=1763041482128 [success - 200]
reqid=19 GET http://localhost:5173/src/components/NodeDraftForm.vue [success - 200]
reqid=20 GET http://localhost:5173/src/components/NodeList.vue [success - 200]
reqid=21 GET http://localhost:5173/src/components/PromptEditor.vue [success - 200]
reqid=22 GET http://localhost:5173/src/components/PromptList.vue [success - 200]
reqid=23 GET http://localhost:5173/src/components/VariablesPanel.vue [success - 200]
reqid=24 GET http://localhost:5173/src/components/LogsPanel.vue [success - 200]
reqid=25 GET http://localhost:5173/src/components/NodeSubMenu.vue [success - 200]
reqid=26 GET http://localhost:5173/src/components/PromptSubMenu.vue [success - 200]
reqid=27 GET http://localhost:5173/src/views/WorkflowBuilder.vue?t=1763041482128 [success - 200]
reqid=28 GET http://localhost:5173/src/stores/pipelineDraft.js [success - 200]
reqid=29 GET http://localhost:5173/src/stores/promptDraft.js [success - 200]
reqid=30 GET http://localhost:5173/src/services/pipelineService.js [success - 200]
reqid=31 GET http://localhost:5173/src/services/promptService.js [success - 200]
reqid=32 GET http://localhost:5173/src/views/PipelineWorkspace.vue?vue&type=style&index=0&scoped=cfce31c8&lang.css [success - 200]
reqid=33 GET http://localhost:5173/src/components/NodeActionList.vue [success - 200]
